id;code;file;size;time
0;f40e592dc2b643b6;cluster_00137/46106.jpg;125698;76
1;d44b392d43b64bb4;cluster_00137/46148.jpg;137588;112
2;c0cb95363ab46e4b;cluster_00305/117309.jpg;78727;108
3;c0cb95343ab46f4b;cluster_00305/117734.jpg;69508;101
4;85b07a4f61c9c799;cluster_00761/309580.jpg;87167;76
5;85b47a4661c9c7b9;cluster_00761/467973.jpg;83120;113
6;9b3669cca70e31d8;cluster_01481/689979.jpg;127225;104
7;9b3669cca70e31d8;cluster_01481/785821.jpg;127251;112
8;af0fc1e0d8d2d1c5;cluster_00553/208533.jpg;316332;116
9;ef1f91a1999294d4;cluster_00553/848130.jpg;314504;115
10;ea5a96e4d9d68494;cluster_00553/853131.jpg;316124;117
11;ee5a93b1acc3c194;cluster_00553/867574.jpg;314158;114
12;84966bc932dd65d2;cluster_01647/800123.jpg;63424;74
13;80c46bcf679c6b4c;cluster_01647/800155.jpg;64299;75
14;c4647d352ef4b560;cluster_00795/319339.jpg;151846;78
15;c4647d352ed4b5e0;cluster_00795/372715.jpg;123743;68
16;aa0f73259ef1046d;cluster_01475/686907.jpg;142080;80
17;aa0e71259ef1266d;cluster_01475/687262.jpg;209027;91
18;932d6cc61b6d641b;cluster_01011/420064.jpg;229464;78
19;93e96cc29b6c641b;cluster_01011/422723.jpg;186953;91
20;cc733b0cc58172fc;cluster_01223/541452.jpg;137074;93
21;8c733b0cc4a172fe;cluster_01223/554901.jpg;85858;76
22;f8e8ad25d597a412;cluster_00934/386046.jpg;98470;79
23;f8e8ad25d597a412;cluster_00934/547598.jpg;105249;88
24;9c91e3feb01f4603;cluster_00108/36861.jpg;99687;73
25;bc81c3feb81d5603;cluster_00108/801092.jpg;89262;73
26;8ce093cb4d3c7633;cluster_01812/894964.jpg;84743;71
27;8ce093cb4d3c7633;cluster_01812/912461.jpg;60673;66
28;dc1492e99c87a979;cluster_00598/228393.jpg;219631;94
29;dc1492e99c87a979;cluster_00598/313805.jpg;161269;89
30;cd333664b971814f;cluster_01678/814852.jpg;88734;72
31;cd333664b833815f;cluster_01678/828196.jpg;155778;88
32;976d2619d276d138;cluster_01224/542566.jpg;114315;80
33;976d2619d276913c;cluster_01224/543761.jpg;218501;83
34;946a2cb5d8cf2f30;cluster_01016/422180.jpg;133736;81
35;946a2cb5d8cf2f30;cluster_01016/423000.jpg;105554;81
36;fafc43422f9038cb;cluster_01472/685480.jpg;124001;78
37;fafd4342279038cb;cluster_01472/896980.jpg;122679;96
38;b9c0df9404bbc83d;cluster_01640/795677.jpg;134684;78
39;b9e0df9404bbc03d;cluster_01640/795713.jpg;90010;89
40;85b41acb4f706735;cluster_00792/317146.jpg;141718;85
41;85b412cbcf316735;cluster_00792/317207.jpg;139360;83
42;f080a1a7878f9bcb;cluster_01486/693995.jpg;107674;77
43;f080a1a7878f9bcb;cluster_01486/697537.jpg;179476;92
44;948e4e64678f8f68;cluster_00554/209090.jpg;109652;86
45;948e4e64668f8f69;cluster_00554/376906.jpg;161362;89
46;916e6b916c93ec1a;cluster_00766/310378.jpg;57109;74
